hash,gasPrice,gasUsed,calls,unknownCalls,classifiedCalls,classifiedActions,compactedProviders,type,status,profit
0x47f7aed0a8ffd6e919c2eaf4caaf0bc83cf462519325cace903ee164b242435c,80,140,8,8,0,0,,,,0
0x402008bab788527ea102580dd8d2ab38046a2e8a9619d95e7b498b088df55fa9,79.5038,119,8,0,8,3,"UNISWAP(2),KNOWN_BOT",UNCLASSIFIED_BOT,SUCCESS,-0.0276
0xea427ab320396157f431bd254e0149d62fe219caeaece8332975801458572d03,78.3972,27,2,0,2,2,"UNISWAP,KNOWN_BOT",UNCLASSIFIED_BOT,CHECKED,0
0x058a0b829692a745666d6f52f7b04cbacea0f2505aeec07f6e7040f5e271e77d,78,56,1,1,0,0,,,,0
0xd1c3a822beeb81b24be67ad0bfaad99acce3e9cb49ef036249e4c80c12641ccd,78,56,1,1,0,0,,,,0
0x08220b432060b424a5a1b4c38112476d52af08a06bab3bdcb1fec425cda8eed0,77.5,21,1,1,0,0,,,,0
0xfd7cd4b0b48408e879eea008e8c13ccc5cb27eb6064d510c35c03b968c2c4ddb,76,104,9,0,9,1,UNISWAP,,,0
0x561d9b93d4bbcb7113708442f4a058f91e7e3d93b79785dd36392c4b3158ffe8,76,216,1,1,0,0,,,,0
0xe15f2b304803321421add4d17c92d3845fc0ae9f567ba6a41c3e5b52547da362,76,117,2,2,0,0,,,,0
0x04287e39a0b647a32d381e0aa3be525b9fc8feae8b87506306ba8449335cb588,76,100,10,0,10,1,UNISWAP,,,0
0x7df3db096bf4b9c43bc4d183c803798ce92f65052d035599b9e3a5d75c577dea,76,221,26,0,26,1,UNISWAP,,,0
0x46d198e6562f3a2c13ae397f0b5782de5cd99e0bf1236527ec69620c9336408e,76,216,1,1,0,0,,,,0
0x374569ef8175c96bca7c9a748d01b6cb80e802d9a7edda05421a75a4524a0036,75.9,21,1,1,0,0,,,,0
0xad0e11977e98ce41d73b815e1e15d852532f949663022bf0bf964781b4514e6c,75,161,12,12,0,0,,,,0
0x0565af5977a2ef68b84a64b39d3ea84c83f567677d138257f9b4978c72f16a92,75,121,10,0,10,1,UNISWAP,,,0
0xc2bfb1a47f011ff0667258f02ab12441cb87b2a1c37bfb22f66a8184d1019cc3,70.8,21,1,1,0,0,,,,0
0xba1ec60cbc4b9a7701079fe59eff3b1e0160f867aa5e46656d16d6ae044c7f95,70.1504,21,1,1,0,0,,,,0
0x0553fdb7d5b692e7edf69a1c31260a33d0094e50a79be9da3b89e01517e3fd45,70,28,2,0,2,1,UNISWAP,,,0
0x501aee4f3ef1e080fd70d0f1d883684a2c3459f926362488c5ac1568854e7ab9,70,25,1,1,0,0,,,,0
0xdfeae07360e2d7695a498e57e2054c658d1d78bbcd3c763fc8888b5433b6c6d5,67.6105,265,34,0,34,10,"UNISWAP(9),KNOWN_BOT",ARBITRAGE,SUCCESS,0.0239
0x4fb13d99baf0c242a6bc93eff8f5c5efbb140565c80bcc60f1e3f26239cd68c0,67.6104,62,11,0,11,1,KNOWN_BOT,UNCLASSIFIED_BOT,,0
0x6aecc9c9070519e0ef80d6e7cb89f1ab521853160bd7e5582648b7b71a321782,67.2,26,1,1,0,0,,,,0
0x1d9a2c8bfcd9f6e133c490d892fe3869bada484160a81966e645616cfc21652a,67,346,33,0,33,6,"UNISWAP(4),BALANCER,KNOWN_BOT",ARBITRAGE,SUCCESS,0.0475
0xd9df5ae2e9e18099913559f71473866758df3fd25919be605c71c300e64165fd,67,37,5,0,5,3,"UNISWAP(2),KNOWN_BOT",ARBITRAGE,CHECKED,0
0x3482c0b5eba76211d86e03b7f43bc37357fda9b2dc0b5d2e2e036cb3c578ea9a,67,113,8,0,8,1,UNISWAP,,,0
